I/System.out: Pkg: com.huawei.camera	ForegroundTime: 95089	BackgroundTime: 95089	Count: 7
I/System.out: Pkg: com.google.android.ext.services	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.launcher	ForegroundTime: 543945	BackgroundTime: 543945	Count: 55
I/System.out: Pkg: com.android.providers.telephony	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.phone.recorder	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.calendar	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.health	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hidisk	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iaware	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.media	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.chr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.FloatTasks	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.motionservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.appmarket	ForegroundTime: 147188	BackgroundTime: 147188	Count: 9
I/System.out: Pkg: com.huawei.parentcontrol	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.secime	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.documentsui	ForegroundTime: 6135	BackgroundTime: 6135	Count: 2
I/System.out: Pkg: com.android.externalstorage	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.mms.service	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.totemweather	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.downloads	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.cryptosms.service	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.securitymgr	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.iconnect	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwvplayer.youku	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.defcontainer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.hisi.mapcon	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mm	ForegroundTime: 2763719	BackgroundTime: 2763719	Count: 164
I/System.out: Pkg: com.baidu.input_huawei	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.android.qqdownloader	ForegroundTime: 173	BackgroundTime: 173	Count: 1
I/System.out: Pkg: com.huawei.imonitor	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.hwid	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.contacts	ForegroundTime: 19757	BackgroundTime: 19757	Count: 2
I/System.out: Pkg: com.android.mms	ForegroundTime: 7307	BackgroundTime: 7307	Count: 3
I/System.out: Pkg: com.android.mtp	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.nfc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.stk	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.instantshare	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.indexsearch.observer	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.indexsearch	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.guixue.m	ForegroundTime: 2316063	BackgroundTime: 2316063	Count: 243
I/System.out: Pkg: com.chutzpah.yasibro	ForegroundTime: 95610	BackgroundTime: 95610	Count: 12
I/System.out: Pkg: com.android.printspooler	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.incallui	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.systemmanager	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mtt	ForegroundTime: 25987573	BackgroundTime: 25987573	Count: 38
I/System.out: Pkg: com.huawei.vassistant	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.gallery3d	ForegroundTime: 161742	BackgroundTime: 161742	Count: 9
I/System.out: Pkg: com.google.android.gms	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.google.android.gsf	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.tencent.mobileqq	ForegroundTime: 142972	BackgroundTime: 142972	Count: 31
I/System.out: Pkg: com.huawei.contactscamcard	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.vrservice	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.dsdscardmanager	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwaps	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.hwouc	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.powergenie	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: cn.com.langeasy.LangEasyLrc	ForegroundTime: 236315	BackgroundTime: 236315	Count: 36
I/System.out: Pkg: com.android.settings	ForegroundTime: 14527	BackgroundTime: 14527	Count: 2
I/System.out: Pkg: com.huawei.geofence	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.ihealth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.android.location.activityrecognition	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.email	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.phone	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.blockednumber	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.userdictionary	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.deskclock	ForegroundTime: 9899	BackgroundTime: 9899	Count: 6
I/System.out: Pkg: com.android.systemui	ForegroundTime: 14586	BackgroundTime: 14586	Count: 8
I/System.out: Pkg: com.zhan.ieltstiku	ForegroundTime: 158841	BackgroundTime: 158841	Count: 27
I/System.out: Pkg: fm.jihua.kecheng	ForegroundTime: 209134	BackgroundTime: 209134	Count: 16
I/System.out: Pkg: com.huawei.ca	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.huawei.ims	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.bluetooth	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.android.providers.contacts	ForegroundTime: 0	BackgroundTime: 0	Count: 0
I/System.out: Pkg: com.netease.cloudmusic	ForegroundTime: 855218	BackgroundTime: 855218	Count: 65
